column_order,varname,varTitle,longDescription,panelDataType,dictionaryDataType
15,ACTMT25,ACT Math 25th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
ACT Math 25th percentile score _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
16,XACTMT25,Imputation flag for ACTMT25,Synthetic dictionary row generated from imputationvar mapping.,string,
17,ACTMT50,ACT Math 50th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
ACT Math 50th percentile score _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
18,XACTMT50,Imputation flag for ACTMT50,Synthetic dictionary row generated from imputationvar mapping.,string,
19,ACTMT75,ACT Math 75th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
ACT Math 75th percentile score _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
20,XACTMT75,Imputation flag for ACTMT75,Synthetic dictionary row generated from imputationvar mapping.,string,
21,ACTNUM,Number of first-time degree/certificate-seeking students submitting ACT scores,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th, 50th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. _x000D_
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). _x000D_
_x000D_
Number submitting ACT scores _x000D_
_x000D_
ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. _x000D_
_x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
22,XACTNUM,Imputation flag for ACTNUM,Synthetic dictionary row generated from imputationvar mapping.,string,
23,ACTPCT,Percent of first-time degree/certificate-seeking students submitting ACT scores,"If test scores are required for admission and 60 percent or more of your enrolled students (first-time, degree/certificate-seeking undergraduate students) submitted scores for a given test, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. 
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). 


Percent submitting ACT scores

ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. 


FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

DEGREE/CERTIFICATE-SEEKING STUDENTS 
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
24,XACTPCT,Imputation flag for ACTPCT,Synthetic dictionary row generated from imputationvar mapping.,string,
25,ACTWR25,ACT Writing 25th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. 
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). 

ACT Writing 25th percentile score 

ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. 


FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

DEGREE/CERTIFICATE-SEEKING STUDENTS 
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
26,XACTWR25,Imputation flag for ACTWR25,Synthetic dictionary row generated from imputationvar mapping.,string,
27,ACTWR75,ACT Writing 75th percentile score,"If test scores are required for admission for first-time, degree/certificate-seeking undergraduate students, please provide the following information: the number and percentage of students submitting SAT/ACT scores and the 25th and 75th percentile scores for each test. Provide data for the most recent group of students for which data are available; include new students admitted the summer prior to that fall. 
(This is applicable to institutions that have no open admission policy for entering first-time undergraduate students ). 

ACT Writing 75th percentile score 

ACT (AMERICAN COLLEGE TESTING PROGRAM) - The ACT assessment program measures educational development and readiness to pursue college-level coursework in English, mathematics, natural science, and social studies. Student performance does not reflect innate ability and is influenced by a student's educational preparedness. 


FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

DEGREE/CERTIFICATE-SEEKING STUDENTS 
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
28,XACTWR75,Imputation flag for ACTWR75,Synthetic dictionary row generated from imputationvar mapping.,string,
29,ADDR,Street address or post office box,Institution (entity) street address or post office box,string,A
30,ADMINURL,Admissions office web address,Admissions office web (URL) address,string,A
31,ADMSSN,Admissions total,"Please provide the number of first-time, degree/certificate-seeking undergraduate students who applied, were admitted, and enrolled (full or part time) at your institution for the most recent fall period available. Include early decision, early action, and students who began studies during the summer prior to that fall. _x000D_
This is applicable to institutions that have no open admission policy for entering first-time undergraduate students_x000D_
_x000D_
Total number of admissions_x000D_
_x000D_
ADMISSIONS - Applicants that have been granted an official offer to enroll in a college or university. _x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs. _x000D_
_x000D_
EARLY DECISION _x000D_
A plan that allows students to apply and be notified of an admission decision (and financial aid offer, if applicable) well in advance of the regular notification date. Applicants agree to accept an offer of admission and, if admitted, to withdraw their applications from other colleges. There are three possible decision applications: admitted, denied, or not admitted but forwarded for consideration with the regular applicant pool, without prejudice. _x000D_
_x000D_
EARLY ACTION _x000D_
An admission plan that allows students to apply and be notified of an admission decision well in advance of the regular notification dates. If admitted, the candidate is not committed to enroll (unlike early decision). Students may reply to the offer under the college's regular reply policy.",double,N
32,XADMSSN,Imputation flag for ADMSSN,Synthetic dictionary row generated from imputationvar mapping.,string,
33,ADMSSNAN,Admissions another gender,"Please provide the number of first-time, degree/certificate-seeking undergraduate students who applied, were admitted, and enrolled (full or part time) at your institution for the most recent fall period available. Include early decision, early action, and students who began studies during the summer prior to that fall. _x000D_
This is applicable to institutions that have no open admission policy for entering first-time undergraduate students_x000D_
_x000D_
Number of admissions another gender_x000D_
_x000D_
Another gender (i.e., gender information is known but does not fall into either of the mutually exclusive binary categories provided [Men/Women]). This variable is left missing or blank for institutions who indicated that they were not able to report another gender for this data collection. For institutions who indicated that they were able to report another gender for this data collection, but no students identified as another gender this variable/cell is zero._x000D_
_x000D_
ADMISSIONS - Applicants that have been granted an official offer to enroll in a college or university. _x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs. _x000D_
_x000D_
EARLY DECISION _x000D_
A plan that allows students to apply and be notified of an admission decision (and financial aid offer, if applicable) well in advance of the regular notification date. Applicants agree to accept an offer of admission and, if admitted, to withdraw their applications from other colleges. There are three possible decision applications: admitted, denied, or not admitted but forwarded for consideration with the regular applicant pool, without prejudice. _x000D_
_x000D_
EARLY ACTION _x000D_
An admission plan that allows students to apply and be notified of an admission decision well in advance of the regular notification dates. If admitted, the candidate is not committed to enroll (unlike early decision). Students may reply to the offer under the college's regular reply policy.",double,N
34,XADMSSNAN,Imputation flag for ADMSSNAN,Synthetic dictionary row generated from imputationvar mapping.,string,
35,ADMSSNM,Admissions men,"Please provide the number of first-time, degree/certificate-seeking undergraduate students who applied, were admitted, and enrolled (full or part time) at your institution for the most recent fall period available. Include early decision, early action, and students who began studies during the summer prior to that fall. _x000D_
This is applicable to institutions that have no open admission policy for entering first-time undergraduate students_x000D_
_x000D_
Number of admissions men_x000D_
_x000D_
ADMISSIONS - Applicants that have been granted an official offer to enroll in a college or university. _x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs. _x000D_
_x000D_
EARLY DECISION _x000D_
A plan that allows students to apply and be notified of an admission decision (and financial aid offer, if applicable) well in advance of the regular notification date. Applicants agree to accept an offer of admission and, if admitted, to withdraw their applications from other colleges. There are three possible decision applications: admitted, denied, or not admitted but forwarded for consideration with the regular applicant pool, without prejudice. _x000D_
_x000D_
EARLY ACTION _x000D_
An admission plan that allows students to apply and be notified of an admission decision well in advance of the regular notification dates. If admitted, the candidate is not committed to enroll (unlike early decision). Students may reply to the offer under the college's regular reply policy.",double,N
36,XADMSSNM,Imputation flag for ADMSSNM,Synthetic dictionary row generated from imputationvar mapping.,string,
37,ADMSSNUN,Admissions gender unknown,"Please provide the number of first-time, degree/certificate-seeking undergraduate students who applied, were admitted, and enrolled (full or part time) at your institution for the most recent fall period available. Include early decision, early action, and students who began studies during the summer prior to that fall. _x000D_
This is applicable to institutions that have no open admission policy for entering first-time undergraduate students_x000D_
_x000D_
Number of admissions gender unknown_x000D_
_x000D_
ADMISSIONS - Applicants that have been granted an official offer to enroll in a college or university. _x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs. _x000D_
_x000D_
EARLY DECISION _x000D_
A plan that allows students to apply and be notified of an admission decision (and financial aid offer, if applicable) well in advance of the regular notification date. Applicants agree to accept an offer of admission and, if admitted, to withdraw their applications from other colleges. There are three possible decision applications: admitted, denied, or not admitted but forwarded for consideration with the regular applicant pool, without prejudice. _x000D_
_x000D_
EARLY ACTION _x000D_
An admission plan that allows students to apply and be notified of an admission decision well in advance of the regular notification dates. If admitted, the candidate is not committed to enroll (unlike early decision). Students may reply to the offer under the college's regular reply policy.",double,N
38,XADMSSNUN,Imputation flag for ADMSSNUN,Synthetic dictionary row generated from imputationvar mapping.,string,
39,ADMSSNW,Admissions women,"Please provide the number of first-time, degree/certificate-seeking undergraduate students who applied, were admitted, and enrolled (full or part time) at your institution for the most recent fall period available. Include early decision, early action, and students who began studies during the summer prior to that fall. _x000D_
This is applicable to institutions that have no open admission policy for entering first-time undergraduate students_x000D_
_x000D_
Number of admissions women_x000D_
_x000D_
ADMISSIONS - Applicants that have been granted an official offer to enroll in a college or university. _x000D_
_x000D_
FIRST-TIME STUDENT (UNDERGRADUATE) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs. Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
DEGREE/CERTIFICATE-SEEKING STUDENTS _x000D_
Students enrolled in courses for credit who are recognized by the institution as seeking a degree or formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs. _x000D_
_x000D_
EARLY DECISION _x000D_
A plan that allows students to apply and be notified of an admission decision (and financial aid offer, if applicable) well in advance of the regular notification date. Applicants agree to accept an offer of admission and, if admitted, to withdraw their applications from other colleges. There are three possible decision applications: admitted, denied, or not admitted but forwarded for consideration with the regular applicant pool, without prejudice. _x000D_
_x000D_
EARLY ACTION _x000D_
An admission plan that allows students to apply and be notified of an admission decision well in advance of the regular notification dates. If admitted, the candidate is not committed to enroll (unlike early decision). Students may reply to the offer under the college's regular reply policy.",double,N
40,XADMSSNW,Imputation flag for ADMSSNW,Synthetic dictionary row generated from imputationvar mapping.,string,
41,ADMTELE,Admissions office telephone number,Admissions office telephone number of the institution,string,A
42,AGRNT_A,"Average amount of federal, state, local or institutional grant aid received","Note: Perturbation procedures were applied to these data to protect against disclosure of individual information.

Average amount of grant aid received byfull-time, first-time degree/certificate-seeking undergraduate students  (grants/educational assistance funds).

Any grant aid include Federal, State and local government grants and institutional grants.
 
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate 

Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term.        

First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
43,XAGRNT_A,Imputation flag for AGRNT_A,Synthetic dictionary row generated from imputationvar mapping.,string,
44,AGRNT_N,"Number of full-time first-time undergraduates receiving federal, state, local or institutional grant aid","Note: Perturbation procedures were applied to these data to protect against disclosure of individual information.

Number of full-time, first-time degree/certificate-seeking undergraduate students who received any grant aid (grants/educational assistance funds).

Any grant aid include Federal, State and local government grants and institutional grants.
 
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate 

Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term.        

First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
45,XAGRNT_N,Imputation flag for AGRNT_N,Synthetic dictionary row generated from imputationvar mapping.,string,
46,AGRNT_P,"Percent of full-time first-time undergraduates receiving federal, state, local or institutional grant aid","Note: Perturbation procedures were applied to these data to protect against disclosure of individual information.

Percentage of full-time, first-time degree/certificate-seeking undergraduate students who received any grant aid (grants/educational assistance funds).

Any grant aid include Federal, State and local government grants and institutional grants.
 
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate 

Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more contact hours a week each term.        

First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). 

Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs.",double,N
47,XAGRNT_P,Imputation flag for AGRNT_P,Synthetic dictionary row generated from imputationvar mapping.,string,
48,AGRNT_T,"Total amount of federal, state, local or institutional grant aid received by full-time first-time undergraduates","Total amount of grant aid awarded to full-time, first-time degree/certificate-seeking undergraduate students (grants/educational assistance funds). _x000D_
_x000D_
Any grant aid include Federal, State and local government grants and institutional grants. _x000D_
_x000D_
Undergraduate - A student enrolled in a 4- or 5-year bachelor's degree program, an associate's degree program, or a vocational or technical program below the baccalaureate _x000D_
_x000D_
Full-time student (Undergraduate) — A student enrolled for 12 or more semester credits, or 12 or more quarter credits, or 24 or more clock hours a week each term. _x000D_
_x000D_
First-time student (undergraduate) - A student attending any institution for the first time at the undergraduate level. Includes students enrolled in academic or occupational programs . Also includes students enrolled in the fall term who attended college for the first time in the prior summer term, and students who entered with advanced standing (college credits earned before graduation from high school). _x000D_
_x000D_
Degree/certificate-seeking students - Students enrolled in courses for credit who are recognized by the institution as seeking a degree or other formal award. At the undergraduate level, this is intended to include students enrolled in vocational or occupational programs",double,N
