year,survey_hint,prefix_hint,dict_file,row_count
2004,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_L2_Dict/gr2004_l2.xlsx,5
2004,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/HD2004_Dict/hd2004.xlsx,1
2004,GraduationRates,PE,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/IC2004_Dict/ic2004.xlsx,6
2004,HumanResources,HR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/IC2004_AY_Dict/ic2004_ay.xlsx,6
2004,InstitutionalCharacteristics,HD,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/HD2004_Dict/hd2004.xlsx,34
2004,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/HD2004_Dict/hd2004.xlsx,1
2004,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/IC2004_AY_Dict/ic2004_ay.xlsx,56
2004,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/IC2004_Dict/ic2004.xlsx,106
2004,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/IC2004_PY_Dict/ic2004_py.xlsx,1
2004,LAGS,LAGS,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/FLAGS2004_Dict/flags2004.xlsx,93
2004,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,2
2004,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,1
2004,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,2
2004,SAL,SAL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/SAL2004_A_Dict/sal2004_a.xlsx,10
2004,SAL,SAL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/SAL2004_B_Dict/sal2004_b.xlsx,4
2004,StudentFinancialAid,SFA,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/SFA0304_Dict/sfa0304.xlsx,28
2005,12MonthEnrollment,EFFY,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EFFY2005_Dict/effy2005.xlsx,27
2005,12MonthEnrollment,EFIA,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EFIA2005_Dict/efia2005.xlsx,5
2005,AcademicLibraries,AL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_Dict/ic2005.xlsx,1
2005,Admissions,ADM,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/HD2005_Dict/hd2005.xlsx,1
2005,Admissions,ADM,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_Dict/ic2005.xlsx,12
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/C2005_A_Dict/c2005_a.xlsx,27
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EFIA2005_Dict/efia2005.xlsx,3
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/FLAGS2005_Dict/flags2005.xlsx,3
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/GR2005ATH_Dict/gr2005ath.xlsx,1
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/GR2005_Dict/gr2005.xlsx,2
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/HD2005_Dict/hd2005.xlsx,13
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_AY_Dict/ic2005_ay.xlsx,48
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_Dict/ic2005.xlsx,10
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_PY_Dict/ic2005_py.xlsx,43
2005,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/SAL2005_A_Dict/sal2005_a.xlsx,1
2005,EAP,EAP,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EAP2005_Dict/eap2005.xlsx,7
2005,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F1A_Dict/f0405_f1a.xlsx,129
2005,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F1A_F_Dict/f0405_f1a_f.xlsx,3
2005,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F2_Dict/f0405_f2.xlsx,126
2005,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F3_Dict/f0405_f3.xlsx,31
2005,F,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/S2005_F_Dict/s2005_f.xlsx,25
2005,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EF2005A_Dict/ef2005a.xlsx,28
2005,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EF2005B_Dict/ef2005b.xlsx,11
2005,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EF2005C_Dict/ef2005c.xlsx,4
2005,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EF2005D_Dict/ef2005d.xlsx,4
2005,Finance,F1A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F1A_Dict/f0405_f1a.xlsx,50
2005,Finance,F1A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F1A_F_Dict/f0405_f1a_f.xlsx,19
2005,Finance,F1A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F1A_G_Dict/f0405_f1a_g.xlsx,23
2005,Finance,F2A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F2_Dict/f0405_f2.xlsx,11
2005,Finance,F3A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/F0405_F3_Dict/f0405_f3.xlsx,4
2005,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/EF2005D_Dict/ef2005d.xlsx,1
2005,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/GR2005ATH_Dict/gr2005ath.xlsx,27
2005,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/GR2005_ATH_AID_Dict/gr2005_ath_aid.xlsx,2
2005,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/GR2005_Dict/gr2005.xlsx,1
2005,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/GR2005_L2_Dict/gr2005_l2.xlsx,5
2005,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/HD2005_Dict/hd2005.xlsx,1
2005,GraduationRates,PE,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_Dict/ic2005.xlsx,6
2005,HumanResources,HR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_AY_Dict/ic2005_ay.xlsx,6
2005,InstitutionalCharacteristics,HD,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/HD2005_Dict/hd2005.xlsx,37
2005,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/HD2005_Dict/hd2005.xlsx,1
2005,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_AY_Dict/ic2005_ay.xlsx,56
2005,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_Dict/ic2005.xlsx,96
2005,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/IC2005_PY_Dict/ic2005_py.xlsx,1
2005,LAGS,LAGS,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/FLAGS2005_Dict/flags2005.xlsx,68
2005,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/S2005_ABD_Dict/s2005_abd.xlsx,2
2005,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/S2005_CN_Dict/s2005_cn.xlsx,1
2005,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/S2005_G_Dict/s2005_g.xlsx,2
2005,SAL,SAL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/SAL2005_A_Dict/sal2005_a.xlsx,10
2005,SAL,SAL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/SAL2005_B_Dict/sal2005_b.xlsx,4
2005,StudentFinancialAid,SFA,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2005/SFA0405_Dict/sfa0405.xlsx,28
2006,12MonthEnrollment,EFFY,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EFFY2006_Dict/effy2006.xlsx,27
2006,12MonthEnrollment,EFIA,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EFIA2006_Dict/efia2006.xlsx,5
2006,AcademicLibraries,AL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_Dict/ic2006.xlsx,1
2006,Admissions,ADM,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/HD2006_Dict/hd2006.xlsx,1
2006,Admissions,ADM,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_Dict/ic2006.xlsx,12
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/C2006_A_Dict/c2006_a.xlsx,27
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EF2006CP_Dict/ef2006cp.xlsx,1
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EFIA2006_Dict/efia2006.xlsx,3
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/FLAGS2006_Dict/flags2006.xlsx,3
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/GR2006ATH_Dict/gr2006ath.xlsx,1
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/GR2006_Dict/gr2006.xlsx,2
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/HD2006_Dict/hd2006.xlsx,13
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_AY_Dict/ic2006_ay.xlsx,39
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_Dict/ic2006.xlsx,10
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_PY_Dict/ic2006_py.xlsx,48
2006,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/SAL2006_A_Dict/sal2006_a.xlsx,1
2006,EAP,EAP,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EAP2006_Dict/eap2006.xlsx,7
2006,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_Dict/f0506_f1a.xlsx,129
2006,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_F_Dict/f0506_f1a_f.xlsx,3
2006,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F2_Dict/f0506_f2.xlsx,126
2006,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F3_Dict/f0506_f3.xlsx,31
2006,F,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/S2006_F_Dict/s2006_f.xlsx,25
2006,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EF2006A_Dict/ef2006a.xlsx,28
2006,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EF2006B_Dict/ef2006b.xlsx,11
2006,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EF2006CP_Dict/ef2006cp.xlsx,3
2006,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EF2006C_Dict/ef2006c.xlsx,4
2006,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EF2006D_Dict/ef2006d.xlsx,4
2006,Finance,F1A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_Dict/f0506_f1a.xlsx,50
2006,Finance,F1A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_F_Dict/f0506_f1a_f.xlsx,19
2006,Finance,F1A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F1A_G_Dict/f0506_f1a_g.xlsx,23
2006,Finance,F2A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F2_Dict/f0506_f2.xlsx,11
2006,Finance,F3A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/F0506_F3_Dict/f0506_f3.xlsx,4
2006,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/EF2006D_Dict/ef2006d.xlsx,1
2006,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/GR2006ATH_Dict/gr2006ath.xlsx,27
2006,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/GR2006_ATH_AID_Dict/gr2006_ath_aid.xlsx,2
2006,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/GR2006_Dict/gr2006.xlsx,1
2006,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/GR2006_L2_Dict/gr2006_l2.xlsx,5
2006,GraduationRates,GR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/HD2006_Dict/hd2006.xlsx,1
2006,GraduationRates,PE,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_Dict/ic2006.xlsx,6
2006,HumanResources,HR,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_AY_Dict/ic2006_ay.xlsx,6
2006,InstitutionalCharacteristics,HD,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/HD2006_Dict/hd2006.xlsx,38
2006,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/HD2006_Dict/hd2006.xlsx,1
2006,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_AY_Dict/ic2006_ay.xlsx,56
2006,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_Dict/ic2006.xlsx,98
2006,InstitutionalCharacteristics,IC,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/IC2006_PY_Dict/ic2006_py.xlsx,13
2006,LAGS,LAGS,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/FLAGS2006_Dict/flags2006.xlsx,75
2006,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/S2006_ABD_Dict/s2006_abd.xlsx,2
2006,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/S2006_CN_Dict/s2006_cn.xlsx,1
2006,S,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/S2006_G_Dict/s2006_g.xlsx,2
2006,SAL,SAL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/SAL2006_A_Dict/sal2006_a.xlsx,10
2006,SAL,SAL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/SAL2006_B_Dict/sal2006_b.xlsx,4
2006,SAL,SAL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/SAL2006_FACULTY_Dict/sal2006_faculty.xlsx,8
2006,StudentFinancialAid,SFA,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2006/SFA0506_Dict/sfa0506.xlsx,28
2007,12MonthEnrollment,EFFY,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EFFY2007_Dict/effy2007.xlsx,27
2007,12MonthEnrollment,EFIA,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EFIA2007_Dict/efia2007.xlsx,5
2007,AcademicLibraries,AL,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/IC2007_Dict/ic2007.xlsx,1
2007,Admissions,ADM,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/HD2007_Dict/hd2007.xlsx,1
2007,Admissions,ADM,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/IC2007_Dict/ic2007.xlsx,12
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/C2007_A_Dict/c2007_a.xlsx,27
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EFIA2007_Dict/efia2007.xlsx,3
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/FLAGS2007_Dict/flags2007.xlsx,3
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/GR2007_Dict/gr2007.xlsx,2
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/HD2007_Dict/hd2007.xlsx,16
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/IC2007_AY_Dict/ic2007_ay.xlsx,39
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/IC2007_Dict/ic2007.xlsx,10
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/IC2007_PY_Dict/ic2007_py.xlsx,48
2007,Completions,C,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/SAL2007_A_Dict/sal2007_a.xlsx,1
2007,EAP,EAP,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EAP2007_Dict/eap2007.xlsx,7
2007,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/F0607_F1A_Dict/f0607_f1a.xlsx,129
2007,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/F0607_F1A_F_Dict/f0607_f1a_f.xlsx,3
2007,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/F0607_F2_Dict/f0607_f2.xlsx,126
2007,F,F,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/F0607_F3_Dict/f0607_f3.xlsx,31
2007,F,S,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/S2007_F_Dict/s2007_f.xlsx,25
2007,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EF2007A_Dict/ef2007a.xlsx,28
2007,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EF2007B_Dict/ef2007b.xlsx,11
2007,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EF2007C_Dict/ef2007c.xlsx,4
2007,FallEnrollment,EF,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/EF2007D_Dict/ef2007d.xlsx,12
2007,Finance,F1A,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2007/F0607_F1A_Dict/f0607_f1a.xlsx,50
