source_var,source_label,table_name,data_filename,year,dict_file,dict_filename,filename,source_label_norm,source_var_norm,table_name_norm,prefix_hint,prefix_token,release,survey_hint,dict_row_sha256
STAFF15,Grand total men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,grand total men,staff15,<na>,S,S,,F,09352ba1ea852f68936d3025c183ac6bfbe7a22e58eb26f0f17b262f1fe81557
STAFF15,Grand total men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,grand total men,staff15,<na>,S,S,,S,09352ba1ea852f68936d3025c183ac6bfbe7a22e58eb26f0f17b262f1fe81557
STAFF15,Grand total men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,grand total men,staff15,<na>,S,S,,S,09352ba1ea852f68936d3025c183ac6bfbe7a22e58eb26f0f17b262f1fe81557
STAFF15,Grand total men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,grand total men,staff15,<na>,S,S,,S,09352ba1ea852f68936d3025c183ac6bfbe7a22e58eb26f0f17b262f1fe81557
GRRACE16,Total women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004ATH_Dict/gr2004ath.xlsx,gr2004ath.xlsx,gr2004ath.xlsx,total women,grrace16,<na>,GR,GR,,GraduationRates,0a04823f6be0d9bab03297797cf9ebaa17fc0b37abde67da762737253f039a36
GRRACE16,Total women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_Dict/gr2004.xlsx,gr2004.xlsx,gr2004.xlsx,total women,grrace16,<na>,GR,GR,,GraduationRates,0a04823f6be0d9bab03297797cf9ebaa17fc0b37abde67da762737253f039a36
GRRACE16,Total women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_ATH_AID_Dict/gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,total women,grrace16,<na>,GR,GR,,GraduationRates,0a04823f6be0d9bab03297797cf9ebaa17fc0b37abde67da762737253f039a36
EFRACE03,Black non-Hispanic men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,black non-hispanic men,efrace03,<na>,EF,EF,,FallEnrollment,0bb6ab337123b35bfdfb82ed7b5b96cf81f35e4ceb27c4accae6aa85bfe2f971
EFRACE03,Black non-Hispanic men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,black non-hispanic men,efrace03,<na>,EF,EF,,FallEnrollment,0bb6ab337123b35bfdfb82ed7b5b96cf81f35e4ceb27c4accae6aa85bfe2f971
EFRACE05,American Indian or Alaska Native men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,american indian or alaska native men,efrace05,<na>,EF,EF,,FallEnrollment,0c79ecfdb9bdc5988af061aaf3ee4692758c5619608581308139bd7c88121bf4
EFRACE05,American Indian or Alaska Native men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,american indian or alaska native men,efrace05,<na>,EF,EF,,FallEnrollment,0c79ecfdb9bdc5988af061aaf3ee4692758c5619608581308139bd7c88121bf4
STAFF14,Race/ethnicity unknown women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,race/ethnicity unknown women,staff14,<na>,S,S,,F,18c787e39ba19ad159ffef2ee043afb14c3b657c3a1eccc45baab8097bd9b998
STAFF14,Race/ethnicity unknown women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,race/ethnicity unknown women,staff14,<na>,S,S,,S,18c787e39ba19ad159ffef2ee043afb14c3b657c3a1eccc45baab8097bd9b998
STAFF14,Race/ethnicity unknown women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,race/ethnicity unknown women,staff14,<na>,S,S,,S,18c787e39ba19ad159ffef2ee043afb14c3b657c3a1eccc45baab8097bd9b998
STAFF14,Race/ethnicity unknown women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,race/ethnicity unknown women,staff14,<na>,S,S,,S,18c787e39ba19ad159ffef2ee043afb14c3b657c3a1eccc45baab8097bd9b998
EFRACE17,Nonresident alien total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,nonresident alien total,efrace17,<na>,EF,EF,,FallEnrollment,1b1cb2bd641bef8618e09001613c0d98e4ddf2b9b33c850b6ebe59f0c99e662b
EFRACE17,Nonresident alien total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,nonresident alien total,efrace17,<na>,EF,EF,,FallEnrollment,1b1cb2bd641bef8618e09001613c0d98e4ddf2b9b33c850b6ebe59f0c99e662b
STAFF21,Hispanic total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,hispanic total,staff21,<na>,S,S,,F,1fe57b306b5584973c7d6e89e8c523c721482ecdc8e5d9eda529967cf89be8df
STAFF21,Hispanic total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,hispanic total,staff21,<na>,S,S,,S,1fe57b306b5584973c7d6e89e8c523c721482ecdc8e5d9eda529967cf89be8df
STAFF21,Hispanic total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,hispanic total,staff21,<na>,S,S,,S,1fe57b306b5584973c7d6e89e8c523c721482ecdc8e5d9eda529967cf89be8df
STAFF21,Hispanic total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,hispanic total,staff21,<na>,S,S,,S,1fe57b306b5584973c7d6e89e8c523c721482ecdc8e5d9eda529967cf89be8df
GRRACE19,American Indian or Alaska Native total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004ATH_Dict/gr2004ath.xlsx,gr2004ath.xlsx,gr2004ath.xlsx,american indian or alaska native total,grrace19,<na>,GR,GR,,GraduationRates,22182c0c3869dc12d8cee7124b734fdfc087c9beb8e75ff77a8e0696850dd0c3
GRRACE19,American Indian or Alaska Native total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_Dict/gr2004.xlsx,gr2004.xlsx,gr2004.xlsx,american indian or alaska native total,grrace19,<na>,GR,GR,,GraduationRates,22182c0c3869dc12d8cee7124b734fdfc087c9beb8e75ff77a8e0696850dd0c3
GRRACE19,American Indian or Alaska Native total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_ATH_AID_Dict/gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,american indian or alaska native total,grrace19,<na>,GR,GR,,GraduationRates,22182c0c3869dc12d8cee7124b734fdfc087c9beb8e75ff77a8e0696850dd0c3
EFRACE20,Asian or Pacific Islander total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,asian or pacific islander total,efrace20,<na>,EF,EF,,FallEnrollment,2356000ed9d8e7e495beb3e27a0d44159f6fc8afd69abd49f443c8cda48643f3
EFRACE20,Asian or Pacific Islander total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,asian or pacific islander total,efrace20,<na>,EF,EF,,FallEnrollment,2356000ed9d8e7e495beb3e27a0d44159f6fc8afd69abd49f443c8cda48643f3
EFRACE08,Asian or Pacific Islander women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,asian or pacific islander women,efrace08,<na>,EF,EF,,FallEnrollment,23b3a5462c86a490bc39e3b342e52ffff73a9582bc654641563acdf669925fe9
EFRACE08,Asian or Pacific Islander women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,asian or pacific islander women,efrace08,<na>,EF,EF,,FallEnrollment,23b3a5462c86a490bc39e3b342e52ffff73a9582bc654641563acdf669925fe9
STAFF02,Nonresident alien women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,nonresident alien women,staff02,<na>,S,S,,F,26e06491d80230fb9ccb4502cbac119b7e15a935ab15468db804e206d7fa0652
STAFF02,Nonresident alien women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,nonresident alien women,staff02,<na>,S,S,,S,26e06491d80230fb9ccb4502cbac119b7e15a935ab15468db804e206d7fa0652
STAFF02,Nonresident alien women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,nonresident alien women,staff02,<na>,S,S,,S,26e06491d80230fb9ccb4502cbac119b7e15a935ab15468db804e206d7fa0652
STAFF02,Nonresident alien women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,nonresident alien women,staff02,<na>,S,S,,S,26e06491d80230fb9ccb4502cbac119b7e15a935ab15468db804e206d7fa0652
GRRACE12,White non-Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004ATH_Dict/gr2004ath.xlsx,gr2004ath.xlsx,gr2004ath.xlsx,white non-hispanic women,grrace12,<na>,GR,GR,,GraduationRates,2925acf7f962f73ffe2dc1b10e5a177866377110b03904358279d1ecf53e56e3
GRRACE12,White non-Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_Dict/gr2004.xlsx,gr2004.xlsx,gr2004.xlsx,white non-hispanic women,grrace12,<na>,GR,GR,,GraduationRates,2925acf7f962f73ffe2dc1b10e5a177866377110b03904358279d1ecf53e56e3
GRRACE12,White non-Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_ATH_AID_Dict/gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,white non-hispanic women,grrace12,<na>,GR,GR,,GraduationRates,2925acf7f962f73ffe2dc1b10e5a177866377110b03904358279d1ecf53e56e3
GRRACE10,Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004ATH_Dict/gr2004ath.xlsx,gr2004ath.xlsx,gr2004ath.xlsx,hispanic women,grrace10,<na>,GR,GR,,GraduationRates,2f0860a4df2dc569091e0b18502a4c4db72bb26df771c69f1c55ee504089a5f6
GRRACE10,Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_Dict/gr2004.xlsx,gr2004.xlsx,gr2004.xlsx,hispanic women,grrace10,<na>,GR,GR,,GraduationRates,2f0860a4df2dc569091e0b18502a4c4db72bb26df771c69f1c55ee504089a5f6
GRRACE10,Hispanic women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_ATH_AID_Dict/gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,hispanic women,grrace10,<na>,GR,GR,,GraduationRates,2f0860a4df2dc569091e0b18502a4c4db72bb26df771c69f1c55ee504089a5f6
GRRACE01,Nonresident alien men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004ATH_Dict/gr2004ath.xlsx,gr2004ath.xlsx,gr2004ath.xlsx,nonresident alien men,grrace01,<na>,GR,GR,,GraduationRates,312e5a0ba5d83df44bed430d462d0518df80900c08fa63c46035ec88980e5595
GRRACE01,Nonresident alien men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_Dict/gr2004.xlsx,gr2004.xlsx,gr2004.xlsx,nonresident alien men,grrace01,<na>,GR,GR,,GraduationRates,312e5a0ba5d83df44bed430d462d0518df80900c08fa63c46035ec88980e5595
GRRACE01,Nonresident alien men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_ATH_AID_Dict/gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,nonresident alien men,grrace01,<na>,GR,GR,,GraduationRates,312e5a0ba5d83df44bed430d462d0518df80900c08fa63c46035ec88980e5595
STAFF07,Asian or Pacific Islander men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,asian or pacific islander men,staff07,<na>,S,S,,F,3348bf0b88b801eeb083d973ed82b8187be1f4bd0c2c7ed7eddcd12c28e08a46
STAFF07,Asian or Pacific Islander men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,asian or pacific islander men,staff07,<na>,S,S,,S,3348bf0b88b801eeb083d973ed82b8187be1f4bd0c2c7ed7eddcd12c28e08a46
STAFF07,Asian or Pacific Islander men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,asian or pacific islander men,staff07,<na>,S,S,,S,3348bf0b88b801eeb083d973ed82b8187be1f4bd0c2c7ed7eddcd12c28e08a46
STAFF07,Asian or Pacific Islander men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,asian or pacific islander men,staff07,<na>,S,S,,S,3348bf0b88b801eeb083d973ed82b8187be1f4bd0c2c7ed7eddcd12c28e08a46
EFRACE18,Black non-Hispanic  total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,black non-hispanic total,efrace18,<na>,EF,EF,,FallEnrollment,337562cd375ec1a7743023e60343abd37784be7506d843458d7272c6f1fe8a3a
EFRACE18,Black non-Hispanic  total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,black non-hispanic total,efrace18,<na>,EF,EF,,FallEnrollment,337562cd375ec1a7743023e60343abd37784be7506d843458d7272c6f1fe8a3a
EFRACE23,Race/ethnicity unknown total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004CP_Dict/ef2004cp.xlsx,ef2004cp.xlsx,ef2004cp.xlsx,race/ethnicity unknown total,efrace23,<na>,EF,EF,,FallEnrollment,341744151f7bef24bd61c250290ff52bdbab57088831de6906c4ec201bc05de6
EFRACE23,Race/ethnicity unknown total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/EF2004A_Dict/ef2004a.xlsx,ef2004a.xlsx,ef2004a.xlsx,race/ethnicity unknown total,efrace23,<na>,EF,EF,,FallEnrollment,341744151f7bef24bd61c250290ff52bdbab57088831de6906c4ec201bc05de6
GRRACE23,Race/ethnicity unknown total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004ATH_Dict/gr2004ath.xlsx,gr2004ath.xlsx,gr2004ath.xlsx,race/ethnicity unknown total,grrace23,<na>,GR,GR,,GraduationRates,3c3a36ccb18447b30496b433488ea906ad37b2f6ad157fa515b1c4ceb17b7911
GRRACE23,Race/ethnicity unknown total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_Dict/gr2004.xlsx,gr2004.xlsx,gr2004.xlsx,race/ethnicity unknown total,grrace23,<na>,GR,GR,,GraduationRates,3c3a36ccb18447b30496b433488ea906ad37b2f6ad157fa515b1c4ceb17b7911
GRRACE23,Race/ethnicity unknown total,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/GR2004_ATH_AID_Dict/gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,gr2004_ath_aid.xlsx,race/ethnicity unknown total,grrace23,<na>,GR,GR,,GraduationRates,3c3a36ccb18447b30496b433488ea906ad37b2f6ad157fa515b1c4ceb17b7911
STAFF09,Hispanic men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,hispanic men,staff09,<na>,S,S,,F,40360a4fe1b368b1286d2af0952ef6e67aa1c14a5aed960ec4b0258d87965c2a
STAFF09,Hispanic men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,hispanic men,staff09,<na>,S,S,,S,40360a4fe1b368b1286d2af0952ef6e67aa1c14a5aed960ec4b0258d87965c2a
STAFF09,Hispanic men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,hispanic men,staff09,<na>,S,S,,S,40360a4fe1b368b1286d2af0952ef6e67aa1c14a5aed960ec4b0258d87965c2a
STAFF09,Hispanic men,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,hispanic men,staff09,<na>,S,S,,S,40360a4fe1b368b1286d2af0952ef6e67aa1c14a5aed960ec4b0258d87965c2a
STAFF16,Grand total women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,grand total women,staff16,<na>,S,S,,F,46c7852bd49abc58aad726a5e14cdc6515c64240539e3e7dbf9200a6e4ee76d8
STAFF16,Grand total women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,grand total women,staff16,<na>,S,S,,S,46c7852bd49abc58aad726a5e14cdc6515c64240539e3e7dbf9200a6e4ee76d8
STAFF16,Grand total women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,grand total women,staff16,<na>,S,S,,S,46c7852bd49abc58aad726a5e14cdc6515c64240539e3e7dbf9200a6e4ee76d8
STAFF16,Grand total women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_G_Dict/s2004_g.xlsx,s2004_g.xlsx,s2004_g.xlsx,grand total women,staff16,<na>,S,S,,S,46c7852bd49abc58aad726a5e14cdc6515c64240539e3e7dbf9200a6e4ee76d8
STAFF06,American Indian or Alaska Native women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_F_Dict/s2004_f.xlsx,s2004_f.xlsx,s2004_f.xlsx,american indian or alaska native women,staff06,<na>,S,S,,F,47d25e55d4308864e9ebb6900fd4ccddc237487bb033c07bc4b03f5a1b9660f6
STAFF06,American Indian or Alaska Native women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_ABD_Dict/s2004_abd.xlsx,s2004_abd.xlsx,s2004_abd.xlsx,american indian or alaska native women,staff06,<na>,S,S,,S,47d25e55d4308864e9ebb6900fd4ccddc237487bb033c07bc4b03f5a1b9660f6
STAFF06,American Indian or Alaska Native women,<NA>,<NA>,2004,/Users/markjaysonfarol13/Higher Ed research/IPEDS/Cross sectional Datas/2004/S2004_CN_Dict/s2004_cn.xlsx,s2004_cn.xlsx,s2004_cn.xlsx,american indian or alaska native women,staff06,<na>,S,S,,S,47d25e55d4308864e9ebb6900fd4ccddc237487bb033c07bc4b03f5a1b9660f6
